"Subject","Session","Trial","CorrectAnswer","FarAway","Littered","PictureTarget.ACC","PictureTarget.RT","SceneLetter","Side","Target","TrialList"
26,1,19,1,0,0,1,613,"c","left","00lc.bmp",2
26,1,27,2,0,0,1,532,"d","right","00rd.bmp",8
26,1,32,1,0,0,1,502,"e","left","00le.bmp",4
26,1,36,1,0,0,1,559,"f","left","00lf.bmp",5
26,1,40,1,0,0,1,502,"b","left","00lb.bmp",1
26,2,3,2,0,0,1,593,"e","right","00re.bmp",9
26,2,8,1,0,0,1,435,"e","left","00le.bmp",4
26,2,9,2,0,0,1,507,"b","right","00rb.bmp",6
26,2,14,2,0,0,1,545,"d","right","00rd.bmp",8
26,2,17,2,0,0,1,467,"c","right","00rc.bmp",7
26,2,22,1,0,0,1,551,"d","left","00ld.bmp",3
26,2,23,2,0,0,1,581,"f","right","00rf.bmp",10
26,2,27,1,0,0,1,467,"c","left","00lc.bmp",2
26,2,37,1,0,0,1,397,"b","left","00lb.bmp",1
26,2,39,1,0,0,1,430,"f","left","00lf.bmp",5
26,3,6,1,0,0,1,475,"b","left","00lb.bmp",1
26,3,9,1,0,0,1,401,"d","left","00ld.bmp",3
26,3,12,2,0,0,1,490,"f","right","00rf.bmp",10
26,3,16,2,0,0,1,708,"e","right","00re.bmp",9
26,3,17,1,0,0,1,550,"f","left","00lf.bmp",5
26,3,19,1,0,0,1,434,"c","left","00lc.bmp",2
26,3,23,1,0,0,1,464,"e","left","00le.bmp",4
26,3,30,2,0,0,1,533,"c","right","00rc.bmp",7
26,3,32,2,0,0,1,376,"b","right","00rb.bmp",6
26,3,33,2,0,0,1,411,"d","right","00rd.bmp",8
26,4,1,2,0,0,1,416,"c","right","00rc.bmp",7
26,4,4,1,0,0,1,422,"c","left","00lc.bmp",2
26,4,9,2,0,0,1,469,"d","right","00rd.bmp",8
26,4,11,1,0,0,1,426,"e","left","00le.bmp",4
26,4,14,2,0,0,1,496,"e","right","00re.bmp",9
26,4,16,1,0,0,1,424,"b","left","00lb.bmp",1
26,4,17,1,0,0,1,396,"d","left","00ld.bmp",3
26,4,35,2,0,0,1,490,"b","right","00rb.bmp",6
26,4,38,1,0,0,1,537,"f","left","00lf.bmp",5
26,4,39,2,0,0,1,444,"f","right","00rf.bmp",10
6,1,9,2,0,0,1,669,"d","right","00rd.bmp",8
6,1,10,2,0,0,1,684,"b","right","00rb.bmp",6
6,1,12,2,0,0,1,604,"e","right","00re.bmp",9
6,1,14,1,0,0,1,555,"d","left","00ld.bmp",3
6,1,17,2,0,0,1,603,"f","right","00rf.bmp",10
6,1,21,1,0,0,1,455,"b","left","00lb.bmp",1
6,1,22,2,0,0,1,471,"c","right","00rc.bmp",7
6,1,33,1,0,0,1,823,"f","left","00lf.bmp",5
6,1,37,1,0,0,1,575,"c","left","00lc.bmp",2
6,1,40,1,0,0,1,897,"e","left","00le.bmp",4
6,2,5,2,0,0,1,478,"b","right","00rb.bmp",6
6,2,8,2,0,0,1,597,"d","right","00rd.bmp",8
6,2,14,1,0,0,1,543,"f","left","00lf.bmp",5
6,2,15,1,0,0,1,461,"e","left","00le.bmp",4
6,2,16,2,0,0,1,548,"f","right","00rf.bmp",10
6,2,18,1,0,0,1,447,"c","left","00lc.bmp",2
6,2,20,1,0,0,1,486,"d","left","00ld.bmp",3
6,2,21,2,0,0,1,421,"e","right","00re.bmp",9
6,2,29,2,0,0,1,539,"c","right","00rc.bmp",7
6,2,38,1,0,0,1,423,"b","left","00lb.bmp",1
6,3,3,2,0,0,1,602,"e","right","00re.bmp",9
6,3,5,1,0,0,1,427,"e","left","00le.bmp",4
6,3,7,1,0,0,1,582,"d","left","00ld.bmp",3
6,3,10,2,0,0,1,455,"b","right","00rb.bmp",6
6,3,21,1,0,0,1,513,"f","left","00lf.bmp",5
6,3,25,2,0,0,1,615,"f","right","00rf.bmp",10
6,3,29,1,0,0,1,473,"c","left","00lc.bmp",2
6,3,34,2,0,0,1,526,"c","right","00rc.bmp",7
6,3,39,1,0,0,1,513,"b","left","00lb.bmp",1
6,3,40,2,0,0,1,417,"d","right","00rd.bmp",8
6,4,4,2,0,0,1,442,"d","right","00rd.bmp",8
6,4,7,2,0,0,1,473,"f","right","00rf.bmp",10
6,4,21,1,0,0,1,382,"f","left","00lf.bmp",5
6,4,22,2,0,0,1,470,"e","right","00re.bmp",9
6,4,24,1,0,0,1,434,"c","left","00lc.bmp",2
6,4,26,1,0,0,1,422,"e","left","00le.bmp",4
6,4,27,1,0,0,1,426,"b","left","00lb.bmp",1
6,4,33,2,0,0,1,404,"c","right","00rc.bmp",7
6,4,34,2,0,0,1,436,"b","right","00rb.bmp",6
6,4,37,1,0,0,1,423,"d","left","00ld.bmp",3
8,1,1,2,0,0,1,590,"f","right","00rf.bmp",10
8,1,4,2,0,0,1,417,"d","right","00rd.bmp",8
8,1,9,2,0,0,1,570,"b","right","00rb.bmp",6
8,1,10,2,0,0,1,673,"e","right","00re.bmp",9
8,1,15,1,0,0,1,599,"c","left","00lc.bmp",2
8,1,21,1,0,0,1,786,"e","left","00le.bmp",4
8,1,22,2,0,0,1,472,"c","right","00rc.bmp",7
8,1,24,1,0,0,1,447,"b","left","00lb.bmp",1
8,1,34,1,0,0,1,486,"f","left","00lf.bmp",5
8,1,39,1,0,0,1,453,"d","left","00ld.bmp",3
8,2,4,1,0,0,1,670,"e","left","00le.bmp",4
8,2,7,1,0,0,1,464,"c","left","00lc.bmp",2
8,2,13,2,0,0,1,403,"d","right","00rd.bmp",8
8,2,15,2,0,0,1,396,"b","right","00rb.bmp",6
8,2,19,2,0,0,1,408,"f","right","00rf.bmp",10
8,2,20,2,0,0,1,507,"e","right","00re.bmp",9
8,2,27,2,0,0,1,454,"c","right","00rc.bmp",7
8,2,28,1,0,0,1,452,"f","left","00lf.bmp",5
8,2,32,1,0,0,1,577,"d","left","00ld.bmp",3
8,2,40,1,0,0,1,471,"b","left","00lb.bmp",1
8,3,10,2,0,0,1,443,"c","right","00rc.bmp",7
8,3,12,1,0,0,1,416,"d","left","00ld.bmp",3
8,3,13,1,0,0,1,403,"e","left","00le.bmp",4
8,3,14,2,0,0,1,419,"d","right","00rd.bmp",8
8,3,27,1,0,0,1,408,"f","left","00lf.bmp",5
8,3,32,2,0,0,1,471,"b","right","00rb.bmp",6
8,3,37,2,0,0,1,489,"e","right","00re.bmp",9
8,3,38,1,0,0,1,459,"b","left","00lb.bmp",1
8,3,39,2,0,0,1,466,"f","right","00rf.bmp",10
8,3,40,1,0,0,1,437,"c","left","00lc.bmp",2
8,4,1,2,0,0,1,551,"e","right","00re.bmp",9
8,4,15,1,0,0,1,421,"c","left","00lc.bmp",2
8,4,18,2,0,0,1,432,"b","right","00rb.bmp",6
8,4,21,2,0,0,1,419,"c","right","00rc.bmp",7
8,4,24,1,0,0,1,462,"b","left","00lb.bmp",1
8,4,25,1,0,0,1,457,"d","left","00ld.bmp",3
8,4,29,1,0,0,1,477,"f","left","00lf.bmp",5
8,4,34,2,0,0,1,410,"d","right","00rd.bmp",8
8,4,37,1,0,0,1,445,"e","left","00le.bmp",4
8,4,38,2,0,0,1,410,"f","right","00rf.bmp",10
9,1,3,1,0,0,1,437,"c","left","00lc.bmp",2
9,1,8,2,0,0,1,473,"c","right","00rc.bmp",7
9,1,15,1,0,0,1,414,"d","left","00ld.bmp",3
9,1,19,2,0,0,1,503,"d","right","00rd.bmp",8
9,1,26,1,0,0,1,343,"b","left","00lb.bmp",1
9,1,27,2,0,0,1,495,"f","right","00rf.bmp",10
9,1,31,1,0,0,1,542,"e","left","00le.bmp",4
